longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
8.8,48.2,103495.92,0.9962689,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,1.0527709,1.1964664,2.585031,0.37957716,274.2675
8.8,48.2,103513.664,0.9997176,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.8316721,0.7591381,2.8627315,-0.0467515,275.1484
8.8,48.2,103484.875,0.9936748,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.6070144,1.2348433,2.5503185,0.9314246,275.4562
8.8,48.2,103398.1,0.9579826,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.5029156,1.5266767,2.6051867,1.7142901,275.4819
8.8,48.2,103325.55,0.9444626,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.8143223,1.4575138,3.1936207,1.8825493,274.95917
8.8,48.2,103266.21,0.9306526,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.9366606,1.4587789,3.6370459,1.5795741,273.87817
8.8,48.2,103211.46,0.93564254,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.9593488,1.6898837,3.933782,1.6050024,273.44388
8.8,48.2,103196.945,0.6474039,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,1.1270635,1.6645803,4.490863,1.4529738,273.04123
8.8,48.2,103250.7,0.63101506,2019-01-01 08:00:00,30120.0,39532.0,87772.0,899.15625,2.0813026,1.4625745,5.5300007,0.91519356,273.83075
8.8,48.2,103220.445,0.6662648,2019-01-01 09:00:00,301950.0,303972.0,548796.0,4169.836,3.2219408,0.86119556,5.5439973,0.5462136,275.52933
8.8,48.2,103153.65,0.99999225,2019-01-01 10:00:00,884016.0,663502.0,1213736.0,7249.4453,4.04183,0.18685818,6.1570663,-0.009961605,276.10046
8.8,48.2,103106.01,0.99999225,2019-01-01 11:00:00,1682190.0,997923.0,1922120.0,7249.4453,4.412404,-0.34577942,6.573617,-0.5120344,276.14
8.8,48.2,103051.25,1.0000075,2019-01-01 12:00:00,2549640.0,1304565.0,2628730.0,7249.4453,4.66064,-0.46133184,6.8961077,-0.56992435,275.90384
8.8,48.2,103100.25,0.9993819,2019-01-01 13:00:00,3328236.0,1510774.0,3227176.0,7249.4453,4.6041417,-1.2756817,6.8697934,-1.8965216,275.35196
8.8,48.2,103099.25,0.99472773,2019-01-01 14:00:00,3883194.0,1705764.0,3741396.0,7249.4453,5.2812285,-0.26649523,8.036024,-0.5482831,275.12866
8.8,48.2,103107.48,0.9682828,2019-01-01 15:00:00,4126410.0,1814745.0,4056134.0,7249.4453,4.690001,-0.6405649,7.3910418,-1.1288047,274.85443
8.8,48.2,103121.05,0.83677554,2019-01-01 16:00:00,4147494.0,1831840.0,4118196.0,7249.4453,4.4475484,0.053593636,7.578602,-0.3562188,274.48685
8.8,48.2,103107.48,0.97952914,2019-01-01 17:00:00,4147494.0,1831840.0,4118196.0,7249.4453,4.782533,0.96325254,8.318764,1.0228581,274.475
8.8,48.2,103082.56,0.99242353,2019-01-01 18:00:00,4147494.0,1831840.0,4118196.0,7249.4453,4.8483734,1.373169,8.273413,1.7527027,274.53082
8.8,48.2,103067.52,0.99773383,2019-01-01 19:00:00,4147494.0,1831840.0,4118196.0,7249.4453,4.80967,1.4684787,8.314844,2.0437756,274.47253
8.8,48.2,103057.48,0.9982527,2019-01-01 20:00:00,4147494.0,1831840.0,4118196.0,7249.4453,4.7340426,0.8936682,8.086973,1.1402607,274.55157
8.8,48.2,103067.94,0.99983966,2019-01-01 21:00:00,4147494.0,1831840.0,4118196.0,7249.4453,4.6312785,0.15016842,7.9990716,-0.05865431,274.3821
8.8,48.2,103045.375,1.0000075,2019-01-01 22:00:00,4147494.0,1831840.0,4118196.0,7249.4453,5.1571107,-0.34957504,8.759949,-0.65757084,274.1341
8.8,48.2,103047.14,1.0000075,2019-01-01 23:00:00,4147494.0,1831840.0,4118196.0,7249.4453,4.855491,-1.9546578,7.852943,-3.3177984,273.9735
8.8,48.2,103084.53,0.9459883,2019-01-02 00:00:00,0.0,0.0,0.0,-0.0078125,5.120555,-1.8360953,8.18602,-3.348714,274.1266
8.8,48.2,103129.16,0.6862852,2019-01-02 01:00:00,0.0,0.0,0.0,-0.0078125,5.099174,-3.303905,8.139699,-5.398857,273.59784
8.8,48.2,103202.7,0.7183456,2019-01-02 02:00:00,0.0,0.0,0.0,-0.0078125,4.5238376,-3.8716466,7.136673,-6.1953077,272.85513
8.8,48.2,103233.55,0.58699095,2019-01-02 03:00:00,0.0,0.0,0.0,-0.0078125,3.7955031,-4.4140887,6.0655904,-7.1177654,272.36166
8.8,48.2,103263.87,0.74430215,2019-01-02 04:00:00,0.0,0.0,0.0,-0.0078125,2.7175798,-3.8785076,4.3930483,-6.650422,271.7842
8.8,48.2,103284.77,0.5986493,2019-01-02 05:00:00,0.0,0.0,0.0,-0.0078125,2.8347573,-4.4573984,4.4568286,-7.3634,271.5001
8.8,48.2,103337.266,0.45783374,2019-01-02 06:00:00,0.0,0.0,0.0,-0.0078125,2.7042515,-3.627655,4.486403,-6.440942,270.98093
8.8,48.2,103394.055,0.90782404,2019-01-02 07:00:00,0.0,0.0,0.0,-0.0078125,3.1507483,-2.6859927,5.2453537,-5.011797,270.76047
8.8,48.2,103439.58,0.9263034,2019-01-02 08:00:00,26956.0,20520.0,69124.0,-0.0078125,3.956553,-2.2966352,6.642108,-4.776264,271.1086
8.8,48.2,103444.766,0.8207375,2019-01-02 09:00:00,284532.0,119429.0,364258.0,266.60156,4.506344,-2.089092,7.509734,-4.271172,271.5162
8.8,48.2,103438.09,0.9382364,2019-01-02 10:00:00,857340.0,407127.0,942102.0,2118.9219,4.7854047,-2.283342,7.787304,-4.2669187,272.0369
8.8,48.2,103383.9,0.7350701,2019-01-02 11:00:00,1640550.0,647628.0,1558004.0,2118.9219,5.1352715,-2.8978238,8.379855,-5.143121,271.98282
8.8,48.2,103345.05,0.8011747,2019-01-02 12:00:00,2505378.0,1021923.0,2303608.0,3723.1797,4.42693,-4.0603223,7.150569,-6.843952,272.4602
8.8,48.2,103311.69,0.78899753,2019-01-02 13:00:00,3290836.0,1407709.0,3032904.0,7073.125,3.3490062,-4.754991,5.198676,-7.5367265,272.78842
8.8,48.2,103336.59,0.7151563,2019-01-02 14:00:00,3856904.0,1747119.0,3647252.0,9924.625,3.3848262,-6.0156865,5.1765847,-9.277966,272.67914
8.8,48.2,103405.84,0.6230799,2019-01-02 15:00:00,4105496.0,1906769.0,3996754.0,12173.375,2.7531219,-6.059425,4.304326,-9.630999,272.03802
8.8,48.2,103483.69,0.78390086,2019-01-02 16:00:00,4128708.0,1934677.0,4065100.0,13072.875,2.0689375,-5.6559167,3.207589,-9.302423,271.55453
8.8,48.2,103553.6,0.43520376,2019-01-02 17:00:00,4128708.0,1934677.0,4065100.0,13072.875,1.9267693,-5.2789946,2.915767,-8.840927,271.26428
8.8,48.2,103611.945,0.33670306,2019-01-02 18:00:00,4128708.0,1934677.0,4065100.0,13072.875,1.8570735,-4.935948,2.8042405,-8.62294,270.68033
8.8,48.2,103663.62,0.26025248,2019-01-02 19:00:00,4128708.0,1934677.0,4065100.0,13072.875,1.644099,-4.6182013,2.4579024,-8.184307,270.35287
8.8,48.2,103723.67,0.20574516,2019-01-02 20:00:00,4128708.0,1934677.0,4065100.0,13072.875,1.2120411,-3.777309,1.7901685,-7.123082,269.76392
8.8,48.2,103781.42,0.1770266,2019-01-02 21:00:00,4128708.0,1934677.0,4065100.0,13072.875,1.3816988,-2.0161948,2.1678622,-5.0963335,268.8598
8.8,48.2,103811.52,0.36659658,2019-01-02 22:00:00,4128708.0,1934677.0,4065100.0,13072.875,1.6815848,0.02621746,3.2150714,-2.5666187,268.07684
8.8,48.2,103855.63,0.15219924,2019-01-02 23:00:00,4128708.0,1934677.0,4065100.0,13072.875,1.5591314,0.30236983,3.4128263,-1.9535961,267.8353
8.8,48.2,103877.58,0.45659778,2019-01-03 00:00:00,0.0,0.0,0.0,-0.0078125,1.8998859,-1.6201482,3.6366985,-3.9338224,268.89502
8.8,48.2,103911.03,0.29965279,2019-01-03 01:00:00,0.0,0.0,0.0,-0.0078125,1.7409811,-2.1335812,3.1692505,-4.6504493,268.8437
8.8,48.2,103937.12,0.0655247,2019-01-03 02:00:00,0.0,0.0,0.0,-0.0078125,1.4346666,-1.7995617,2.6417594,-4.518527,268.1899
8.8,48.2,103953.35,0.0073245764,2019-01-03 03:00:00,0.0,0.0,0.0,-0.0078125,1.1858284,-1.6644478,2.0368793,-4.3692765,267.68863
8.8,48.2,103949.22,0.40958294,2019-01-03 04:00:00,0.0,0.0,0.0,-0.0078125,1.1956332,-1.1133602,1.6010098,-3.6632705,267.108
8.8,48.2,103931.1,0.30917478,2019-01-03 05:00:00,0.0,0.0,0.0,-0.0078125,1.1161807,-0.50645494,1.2910085,-2.799629,266.7583
8.8,48.2,103981.24,0.018555641,2019-01-03 06:00:00,0.0,0.0,0.0,-0.0078125,1.1790664,-0.6389108,0.99212646,-2.3250453,266.61813
8.8,48.2,103967.18,0.21795288,2019-01-03 07:00:00,0.0,0.0,0.0,-0.0078125,0.92650914,0.04108882,0.6349807,-1.6850004,267.25006
8.8,48.2,104011.53,0.64958596,2019-01-03 08:00:00,32038.0,50873.0,99680.0,1350.3672,0.24524689,-0.20521712,0.011865139,-1.2925885,268.08014
8.8,48.2,103968.31,0.8513179,2019-01-03 09:00:00,306650.0,342878.0,574674.0,4701.2812,0.50693274,-0.021816492,0.5064435,-0.32776952,269.9655
