longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
9.8,50.2,103260.984,0.99999225,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,2.4910247,0.31000185,4.9740396,0.16695404,278.69678
9.8,50.2,103194.66,0.9998702,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,2.5288386,1.2656293,4.8844585,1.7873287,278.7541
9.8,50.2,103139.32,0.99944293,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,3.4523816,0.7384739,6.460521,0.6024804,278.7126
9.8,50.2,103067.35,0.99999225,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,3.681933,0.609426,6.5573807,0.5646086,278.72595
9.8,50.2,102978.34,0.99973285,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,3.6401153,0.9071636,6.4498835,1.1716404,278.47296
9.8,50.2,102910.43,0.99672675,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,3.95864,1.1711626,6.8916287,1.5795741,278.10342
9.8,50.2,102860.62,0.99973285,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,4.171286,0.7582946,7.2006826,0.78534746,277.6044
9.8,50.2,102839.94,0.99999225,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,4.4404306,-0.010930538,7.647467,-0.2848034,277.37863
9.8,50.2,102816.96,0.98244375,2019-01-01 08:00:00,14306.0,6412.0,39896.0,0.0,4.680659,-0.732079,7.843985,-1.6270905,277.43494
9.8,50.2,102748.76,0.94897944,2019-01-01 09:00:00,207074.0,93488.0,319170.0,0.0,5.129084,-0.90540767,8.504643,-1.9441319,277.47003
9.8,50.2,102673.8,0.962652,2019-01-01 10:00:00,665648.0,368078.0,888360.0,1070.5625,5.5530424,-0.35885286,8.9967785,-0.9957123,277.56934
9.8,50.2,102622.33,0.99983966,2019-01-01 11:00:00,1289126.0,577492.0,1472620.0,1070.5625,6.097559,-0.09358835,9.907143,-0.40220594,277.5209
9.8,50.2,102534.15,0.9994887,2019-01-01 12:00:00,1972846.0,734018.0,2015212.0,1070.5625,5.82797,0.23409128,9.64344,-0.002928257,277.39493
9.8,50.2,102501.66,0.99950397,2019-01-01 13:00:00,2566206.0,853149.0,2489536.0,1070.5625,5.7906013,0.021964073,9.993364,-0.41410875,277.4305
9.8,50.2,102490.91,0.9999312,2019-01-01 14:00:00,2953998.0,914585.0,2836190.0,1070.5625,5.992126,-0.12015724,9.993364,-0.5818267,277.50262
9.8,50.2,102456.37,0.99996173,2019-01-01 15:00:00,3089538.0,937022.0,3021488.0,1070.5625,5.9996886,-0.3508401,10.121017,-1.0092378,277.56586
9.8,50.2,102432.63,0.99962604,2019-01-01 16:00:00,3093302.0,939693.0,3040992.0,1070.5625,6.6136045,-1.1605508,10.861738,-2.273617,277.79956
9.8,50.2,102421.7,0.79346883,2019-01-01 17:00:00,3093302.0,939693.0,3040992.0,1070.5625,6.865399,-2.2975197,11.146158,-4.10932,278.05746
9.8,50.2,102500.72,0.6092244,2019-01-01 18:00:00,3093302.0,939693.0,3040992.0,1070.5625,6.240806,-3.5399194,10.175886,-6.158729,277.10294
9.8,50.2,102580.38,0.78275657,2019-01-01 19:00:00,3093302.0,939693.0,3040992.0,1070.5625,5.670932,-2.7521386,9.332706,-5.0377216,275.96658
9.8,50.2,102565.58,0.5622553,2019-01-01 20:00:00,3093302.0,939693.0,3040992.0,1070.5625,5.5227914,-2.1617243,9.181539,-4.0270844,275.3495
9.8,50.2,102589.195,0.5950787,2019-01-01 21:00:00,3093302.0,939693.0,3040992.0,1070.5625,5.3590803,-2.9786043,9.090279,-5.1545835,274.63705
9.8,50.2,102613.11,0.42079884,2019-01-01 22:00:00,3093302.0,939693.0,3040992.0,1070.5625,5.27678,-3.2147698,8.75659,-5.8059797,274.5728
9.8,50.2,102639.95,0.44300154,2019-01-01 23:00:00,3093302.0,939693.0,3040992.0,1070.5625,5.3613048,-3.4433446,8.866886,-6.319955,273.975
9.8,50.2,102676.18,0.9083581,2019-01-02 00:00:00,0.0,0.0,0.0,-0.0078125,5.544283,-3.6898322,8.963856,-6.468589,274.05603
9.8,50.2,102732.23,0.4576201,2019-01-02 01:00:00,0.0,0.0,0.0,-0.0078125,5.0125403,-4.282016,7.9925413,-7.379882,274.23355
9.8,50.2,102779.16,0.8518213,2019-01-02 02:00:00,0.0,0.0,0.0,-0.0078125,5.1849747,-3.2786052,8.417269,-6.156495,273.9709
9.8,50.2,102758.84,0.83178544,2019-01-02 03:00:00,0.0,0.0,0.0,-0.0078125,5.5987062,-3.2198586,9.003762,-5.880024,274.26807
9.8,50.2,102766.03,0.9973674,2019-01-02 04:00:00,0.0,0.0,0.0,-0.0078125,5.4334917,-3.797034,8.615023,-6.7057166,274.56982
9.8,50.2,102766.7,0.9652154,2019-01-02 05:00:00,0.0,0.0,0.0,-0.0078125,5.0680747,-3.8154728,7.9494267,-6.637662,274.76996
9.8,50.2,102809.85,0.77079284,2019-01-02 06:00:00,0.0,0.0,0.0,-0.0078125,4.6832213,-3.8892279,7.370415,-6.7535677,274.80563
9.8,50.2,102886.95,0.5512683,2019-01-02 07:00:00,0.0,0.0,0.0,-0.0078125,3.98793,-3.924819,6.3520675,-6.849801,274.62964
9.8,50.2,102943.81,0.7345818,2019-01-02 08:00:00,17222.0,27908.0,63686.0,500.75,3.6336203,-3.5839167,6.0149937,-6.4877295,274.10855
9.8,50.2,102986.89,0.8372484,2019-01-02 09:00:00,223882.0,248298.0,459790.0,2981.3281,3.5758646,-3.355362,5.8204455,-5.897569,274.72894
9.8,50.2,103005.5,0.9585927,2019-01-02 10:00:00,706836.0,675126.0,1144038.0,6581.6406,4.0559597,-4.925228,6.370952,-7.6659236,275.11465
9.8,50.2,103034.04,0.3712813,2019-01-02 11:00:00,1378482.0,1028079.0,1822072.0,8039.8516,3.3537269,-5.688077,4.956026,-8.888247,274.96973
9.8,50.2,103068.37,0.30142283,2019-01-02 12:00:00,2135486.0,1695407.0,2805338.0,11640.168,1.9234374,-5.8077145,2.6449678,-9.1796055,275.43292
9.8,50.2,103090.164,0.09430432,2019-01-02 13:00:00,2816116.0,2392285.0,3792490.0,15240.484,2.2383175,-6.025549,3.2581856,-9.468306,275.50116
9.8,50.2,103162.67,0.21674734,2019-01-02 14:00:00,3279604.0,2947982.0,4583918.0,18840.8,2.3213415,-5.2481203,3.387528,-8.68302,275.05215
9.8,50.2,103238.96,0.0071415007,2019-01-02 15:00:00,3454068.0,3192587.0,4980020.0,22441.117,2.413251,-4.6756616,3.7684283,-8.313505,274.04453
9.8,50.2,103326.14,0.13330784,2019-01-02 16:00:00,3460806.0,3208182.0,5013418.0,23340.617,2.1836162,-4.2425656,3.4299293,-8.014703,273.15228
9.8,50.2,103414.734,0.120245636,2019-01-02 17:00:00,3460806.0,3208182.0,5013418.0,23340.617,2.1230836,-3.431261,3.2727945,-6.925831,272.66687
9.8,50.2,103478.72,0.05118069,2019-01-02 18:00:00,3460806.0,3208182.0,5013418.0,23340.617,2.2180474,-2.2443204,3.759877,-5.3717413,271.72784
9.8,50.2,103523.055,0.02960363,2019-01-02 19:00:00,3460806.0,3208182.0,5013418.0,23340.617,2.1544604,-2.2631881,3.938747,-5.3520694,271.04303
9.8,50.2,103539.44,0.0030824542,2019-01-02 20:00:00,3460806.0,3208182.0,5013418.0,23340.617,2.0681045,-2.2846284,3.7876694,-5.4195924,270.53577
9.8,50.2,103532.47,0.00036624074,2019-01-02 21:00:00,3460806.0,3208182.0,5013418.0,23340.617,2.2966287,-1.8420987,4.380221,-4.688006,270.0446
9.8,50.2,103538.33,0.0015870035,2019-01-02 22:00:00,3460806.0,3208182.0,5013418.0,23340.617,2.1697326,-1.6868702,4.3264174,-4.298819,269.67728
9.8,50.2,103575.25,0.011902481,2019-01-02 23:00:00,3460806.0,3208182.0,5013418.0,23340.617,1.9695308,-1.9184265,4.0741467,-4.5019193,269.44684
9.8,50.2,103713.33,0.014344007,2019-01-03 00:00:00,0.0,0.0,0.0,-0.0078125,2.3302815,-2.2142067,3.987173,-5.1401253,269.56924
9.8,50.2,103767.53,0.01254335,2019-01-03 01:00:00,0.0,0.0,0.0,-0.0078125,2.2166815,-2.1123173,3.9769435,-4.9165287,269.49323
9.8,50.2,103837.81,0.55403036,2019-01-03 02:00:00,0.0,0.0,0.0,-0.0078125,2.2285147,-2.020617,4.2113347,-4.607966,269.1763
9.8,50.2,103817.59,0.38315332,2019-01-03 03:00:00,0.0,0.0,0.0,-0.0078125,1.9752812,-2.0175161,4.097475,-4.3821335,268.98434
9.8,50.2,103765.125,0.24767858,2019-01-03 04:00:00,0.0,0.0,0.0,-0.0078125,1.6740382,-2.021503,3.6922941,-4.3005204,268.79
