longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
5.8,49.2,103553.61,0.99999225,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,1.5786033,-0.79069877,3.0967615,-2.478125,275.76697
5.8,49.2,103540.625,1.0000075,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,1.6355462,-0.53218174,3.0430129,-1.828352,276.5323
5.8,49.2,103500.15,1.0000075,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,1.7801279,-0.36813068,3.2552075,-1.8743396,276.9152
5.8,49.2,103466.84,0.99999225,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,2.0514965,-0.066176414,3.8212464,-1.7980547,277.22498
5.8,49.2,103391.17,0.99593323,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,2.0924244,0.3762126,4.0899887,-0.8095989,277.48782
5.8,49.2,103308.63,0.97904086,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,2.363348,1.0370545,4.752887,0.7664113,277.65186
5.8,49.2,103270.56,0.99834424,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,3.765123,0.38380337,6.567458,-0.05107975,277.81784
5.8,49.2,103265.86,0.9306526,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,3.7464385,-0.6823156,5.797063,-1.4912925,278.1138
5.8,49.2,103284.42,0.8342272,2019-01-01 08:00:00,4518.0,4808.0,23050.0,0.0,3.5800586,-0.26691723,6.0428505,-0.97515345,278.0293
5.8,49.2,103256.46,1.0000075,2019-01-01 09:00:00,163400.0,115926.0,303212.0,1036.8438,3.5693817,0.66340685,6.0714045,0.16965914,278.24274
5.8,49.2,103224.445,0.9577079,2019-01-01 10:00:00,600136.0,248412.0,723454.0,1036.8438,4.8110046,-0.363492,7.5198145,-0.99787617,278.65182
5.8,49.2,103238.016,0.7952237,2019-01-01 11:00:00,1256748.0,468512.0,1311262.0,1036.8438,4.462674,-1.6109524,6.6200867,-2.842236,278.73236
5.8,49.2,103151.54,1.0000075,2019-01-01 12:00:00,2016520.0,930611.0,2157952.0,4639.086,5.149993,-2.4518707,7.408398,-3.6710887,279.17108
5.8,49.2,103106.414,0.99999225,2019-01-01 13:00:00,2717558.0,1175818.0,2800728.0,4639.086,5.0543466,-0.54947233,8.304207,-1.4101386,279.15033
5.8,49.2,103126.16,0.99999225,2019-01-01 14:00:00,3220558.0,1327536.0,3286578.0,4639.086,4.165503,-0.16949892,6.5601797,-0.5958934,279.12613
5.8,49.2,103135.2,0.99999225,2019-01-01 15:00:00,3452480.0,1416217.0,3603088.0,4639.086,4.222001,-0.35547924,6.877072,-0.8999505,278.91022
5.8,49.2,103151.305,1.0000075,2019-01-01 16:00:00,3479588.0,1426901.0,3674016.0,4639.086,4.388826,-0.19311523,7.4251947,-0.81609154,278.69977
5.8,49.2,103174.33,1.0000075,2019-01-01 17:00:00,3479588.0,1426901.0,3674016.0,4639.086,4.5489783,-0.29896832,7.650266,-1.0438638,278.79413
5.8,49.2,103175.04,0.99999225,2019-01-01 18:00:00,3479588.0,1426901.0,3674016.0,4639.086,4.4835825,-0.7835293,7.4257545,-1.9771347,278.94135
5.8,49.2,103192.42,0.98766255,2019-01-01 19:00:00,3479588.0,1426901.0,3674016.0,4639.086,4.1103396,-1.9483318,6.553461,-3.9491763,279.16367
5.8,49.2,103208.875,0.8187387,2019-01-01 20:00:00,3479588.0,1426901.0,3674016.0,4639.086,3.431918,-3.2493515,5.2606983,-5.89038,279.3109
5.8,49.2,103293.36,0.31240988,2019-01-01 21:00:00,3479588.0,1426901.0,3674016.0,4639.086,2.1978576,-4.4213233,3.2876806,-7.625452,278.35837
5.8,49.2,103330.836,0.868424,2019-01-01 22:00:00,3479588.0,1426901.0,3674016.0,4639.086,2.4816825,-2.2776985,4.447192,-5.1259093,276.6909
5.8,49.2,103332.42,0.45797122,2019-01-01 23:00:00,3479588.0,1426901.0,3674016.0,4639.086,3.4061155,-2.3308358,5.471213,-4.5838003,277.06686
5.8,49.2,103388.195,0.85259956,2019-01-02 00:00:00,0.0,0.0,0.0,-0.0078125,3.7571845,-3.0251799,6.1008654,-5.6359844,276.72968
5.8,49.2,103444.69,0.9902259,2019-01-02 01:00:00,0.0,0.0,0.0,-0.0078125,3.0505087,-3.5976384,4.7507887,-6.5504675,276.38458
5.8,49.2,103528.62,0.7613014,2019-01-02 02:00:00,0.0,0.0,0.0,-0.0078125,2.6523268,-3.732713,3.806198,-6.454234,276.49387
5.8,49.2,103555.9,0.5657954,2019-01-02 03:00:00,0.0,0.0,0.0,-0.0078125,2.7620072,-2.821925,4.282947,-5.4568095,275.7914
5.8,49.2,103580.21,0.5547322,2019-01-02 04:00:00,0.0,0.0,0.0,-0.0078125,2.5573628,-2.7803304,4.167857,-5.6790504,274.9958
5.8,49.2,103557.01,0.5291266,2019-01-02 05:00:00,0.0,0.0,0.0,-0.0078125,2.534316,-1.7996467,4.6552963,-4.7188435,273.93832
5.8,49.2,103578.36,0.25073045,2019-01-02 06:00:00,0.0,0.0,0.0,-0.0078125,2.7770016,-1.568948,5.369351,-4.32115,273.51233
5.8,49.2,103643.01,0.51511824,2019-01-02 07:00:00,0.0,0.0,0.0,-0.0078125,2.9233348,-1.7571948,5.502613,-4.5933676,273.56024
5.8,49.2,103676.81,0.23809552,2019-01-02 08:00:00,5240.0,11081.0,27960.0,449.7422,3.320406,-1.6212626,5.8065495,-4.2982874,273.9659
5.8,49.2,103727.82,0.5029259,2019-01-02 09:00:00,169222.0,215876.0,392996.0,3600.3125,3.7832856,-1.6667162,5.983994,-3.7293942,275.0077
5.8,49.2,103750.875,0.33163685,2019-01-02 10:00:00,620728.0,599200.0,1039186.0,7200.625,3.8174393,-1.8399546,5.80263,-3.5847783,276.2611
5.8,49.2,103735.83,0.2583145,2019-01-02 11:00:00,1305102.0,1230001.0,1992940.0,10800.945,3.7913382,-2.743453,5.107816,-4.1191125,277.20703
5.8,49.2,103710.92,0.46010742,2019-01-02 12:00:00,2095802.0,1981874.0,3083388.0,14398.941,2.5701358,-4.842468,3.4431129,-6.910412,277.96854
5.8,49.2,103701.5,0.5300269,2019-01-02 13:00:00,2834088.0,2520333.0,3954814.0,17999.258,1.4897132,-4.9170804,1.8550177,-7.2788634,277.99344
5.8,49.2,103702.836,0.73549736,2019-01-02 14:00:00,3386678.0,2950855.0,4668576.0,21599.574,1.425571,-4.241279,1.7591691,-6.7062483,277.87994
5.8,49.2,103732.27,0.5033226,2019-01-02 15:00:00,3654738.0,3162216.0,5080988.0,24154.34,1.4455633,-3.9874249,2.0292556,-6.828534,277.31287
5.8,49.2,103777.195,0.44075823,2019-01-02 16:00:00,3691426.0,3209003.0,5188168.0,25357.535,1.4936006,-3.0963619,2.346376,-6.465931,275.98697
5.8,49.2,103809.375,0.14608014,2019-01-02 17:00:00,3691426.0,3209003.0,5188168.0,25357.535,1.2661872,-2.893107,1.9690385,-6.5121865,275.0882
5.8,49.2,103833.984,0.046328157,2019-01-02 18:00:00,3691426.0,3209003.0,5188168.0,25357.535,1.0543232,-3.0659165,1.6996644,-7.103942,273.94177
5.8,49.2,103868.39,0.013245344,2019-01-02 19:00:00,3691426.0,3209003.0,5188168.0,25357.535,0.9965675,-2.678703,1.6002526,-6.6238384,272.91302
5.8,49.2,103893.0,0.011871964,2019-01-02 20:00:00,3691426.0,3209003.0,5188168.0,25357.535,0.9374232,-2.5633535,1.030149,-6.5993814,272.2286
