longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
10.8,52.2,102784.18,0.99999225,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,5.6202173,1.0087991,9.409969,1.507618,279.9695
10.8,52.2,102692.01,1.0000075,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,5.6460195,1.5507145,9.17874,2.2591038,280.05005
10.8,52.2,102607.586,1.0000075,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,5.446719,0.47826958,9.027571,0.6955366,279.6108
10.8,52.2,102540.32,0.9995345,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,6.1028976,-0.61230946,9.907703,-1.0817356,279.2037
10.8,52.2,102466.35,0.99962604,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,6.965494,-0.12859154,11.304604,-0.43304443,278.82773
10.8,52.2,102327.35,1.0000075,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,6.648304,1.2297826,10.815828,1.5633435,278.82526
10.8,52.2,102196.76,0.99999225,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,7.169243,1.3908811,11.705479,1.8879595,278.99667
10.8,52.2,102113.86,0.99999225,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,7.586083,1.1977315,12.359978,1.5849848,279.22644
10.8,52.2,102025.445,0.99999225,2019-01-01 08:00:00,5270.0,1604.0,24824.0,0.0,7.8619003,1.1576676,12.918737,1.5097818,279.27338
10.8,52.2,101982.79,1.0000075,2019-01-01 09:00:00,131774.0,28848.0,222532.0,0.0,7.6118855,0.35175228,12.48707,0.2567644,279.42505
10.8,52.2,101964.81,0.99999225,2019-01-01 10:00:00,463092.0,71586.0,529292.0,0.0,7.4045777,-0.5553765,12.087875,-1.3235745,279.61624
10.8,52.2,101914.17,0.99954975,2019-01-01 11:00:00,956304.0,121268.0,891906.0,0.0,7.4116955,-1.31195,11.763706,-2.4635174,279.8865
10.8,52.2,101835.45,0.8948078,2019-01-01 12:00:00,1502224.0,227578.0,1305942.0,0.0,8.175531,-2.2882416,12.718861,-3.8458402,279.97742
10.8,52.2,101828.99,0.66222095,2019-01-01 13:00:00,1990164.0,604738.0,1964676.0,3599.4375,7.960216,-3.0777097,12.406448,-5.124286,279.7101
10.8,52.2,101827.99,0.7278983,2019-01-01 14:00:00,2295128.0,840328.0,2425702.0,5765.836,8.205338,-2.4670527,12.934975,-4.2975974,279.09055
10.8,52.2,101818.12,0.8160378,2019-01-01 15:00:00,2375698.0,924201.0,2627842.0,7564.1484,8.151064,-2.7934675,12.995441,-4.7666674,278.48386
10.8,52.2,101879.92,0.6306946,2019-01-01 16:00:00,2375698.0,925269.0,2629616.0,7564.1484,8.216014,-4.250525,12.943373,-6.9502506,277.50067
10.8,52.2,101920.875,0.61511457,2019-01-01 17:00:00,2375698.0,925269.0,2629616.0,7564.1484,7.4842086,-4.353004,12.015652,-7.114723,276.62418
10.8,52.2,101923.81,0.30651966,2019-01-01 18:00:00,2375698.0,925269.0,2629616.0,7564.1484,7.83076,-3.4758172,12.48875,-6.1343827,276.3065
10.8,52.2,101901.484,0.31350857,2019-01-01 19:00:00,2375698.0,925269.0,2629616.0,7564.1484,8.293421,-3.3336964,13.2882595,-5.921759,276.28873
10.8,52.2,101890.5,0.29547173,2019-01-01 20:00:00,2375698.0,925269.0,2629616.0,7564.1484,8.389068,-3.2780285,13.432148,-5.811931,276.21014
10.8,52.2,101910.24,0.16385764,2019-01-01 21:00:00,2375698.0,925269.0,2629616.0,7564.1484,8.261391,-3.5960088,13.23171,-6.2458344,276.1978
10.8,52.2,101939.32,0.59855795,2019-01-01 22:00:00,2375698.0,925269.0,2629616.0,7564.1484,8.080774,-3.6550503,12.871149,-6.489837,275.98883
10.8,52.2,101920.4,0.52209204,2019-01-01 23:00:00,2375698.0,925269.0,2629616.0,7564.1484,8.024277,-3.3632169,12.751333,-5.91689,276.3569
10.8,52.2,102135.266,0.9789796,2019-01-02 00:00:00,0.0,0.0,0.0,-0.0078125,6.021601,-2.4591532,9.91771,-4.7028933,275.04947
