longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
13.8,53.2,102362.19,0.99999225,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,5.083263,1.7172956,8.951988,2.3651447,279.83807
13.8,53.2,102265.9,1.0000075,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,5.7656884,1.8733339,9.592491,2.5306988,280.0772
13.8,53.2,102130.55,1.0000075,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,6.941916,2.2954798,11.207745,3.1939974,280.27878
13.8,53.2,102010.99,0.9934306,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,8.585698,0.2876506,13.634264,0.023040771,280.1864
13.8,53.2,101880.27,0.9803074,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,8.566569,0.7582946,13.740643,0.9087014,279.60538
13.8,53.2,101736.875,1.0000075,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,7.282684,2.4548917,11.79394,3.3801107,279.39392
13.8,53.2,101563.56,0.99999225,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,7.393456,3.0503664,12.058203,4.210046,279.3929
13.8,53.2,101458.34,0.99999225,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,7.910391,2.7041306,12.764212,3.8145552,279.63748
13.8,53.2,101425.51,0.99999225,2019-01-01 08:00:00,9788.0,3206.0,38122.0,0.0,8.121258,1.5692706,13.060947,1.9956236,279.90625
13.8,53.2,101351.07,0.7709304,2019-01-01 09:00:00,146834.0,32588.0,242924.0,0.0,7.803178,0.28048086,12.489309,-0.013207912,280.20667
13.8,53.2,101246.266,0.2533552,2019-01-01 10:00:00,492458.0,203004.0,658734.0,679.9922,8.524752,-0.15811205,13.388477,-0.6099601,280.5614
13.8,53.2,101162.08,0.44934952,2019-01-01 11:00:00,993200.0,726540.0,1476166.0,4279.422,9.137333,-1.8833864,14.120241,-3.3800163,280.48975
13.8,53.2,101089.34,0.29481554,2019-01-01 12:00:00,1523308.0,1245267.0,2286506.0,7881.664,8.991417,-1.5434766,13.905247,-2.840613,280.15872
13.8,53.2,101031.125,0.46996525,2019-01-01 13:00:00,1946492.0,1659287.0,2965632.0,11481.094,8.984299,-1.379004,13.995947,-2.6290715,279.89145
13.8,53.2,100988.766,0.8198832,2019-01-01 14:00:00,2167872.0,1898083.0,3398288.0,15080.531,9.226306,-1.8104281,14.418657,-3.2875009,279.51596
13.8,53.2,100986.24,0.6004959,2019-01-01 15:00:00,2204768.0,1934944.0,3502018.0,15530.109,9.586648,-2.893838,14.868801,-4.874873,278.7457
