longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
10.8,47.2,103451.51,0.6994239,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,-0.022472024,0.7616687,0.27496576,0.71393156,269.79175
10.8,47.2,103436.41,0.6278869,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.085630655,0.38127327,0.48268127,0.44504166,269.1633
10.8,47.2,103469.6,0.5413344,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.15814388,0.2842765,0.41269612,-0.018618107,269.06546
10.8,47.2,103444.22,0.62205774,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.019345522,0.80173254,0.48883986,0.8064475,268.19495
10.8,47.2,103287.42,0.9264715,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.18483591,1.021029,0.81804943,1.6704669,267.4973
10.8,47.2,103205.76,0.9650325,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.12166488,1.2196612,0.71055245,1.9923778,267.18655
10.8,47.2,103083.33,0.9521992,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.17816293,1.4414883,0.60529494,2.4024754,266.68854
10.8,47.2,102968.18,0.9391675,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,0.21152794,1.5169768,0.79733396,2.676776,266.62628
10.8,47.2,102895.625,0.8961507,2019-01-01 08:00:00,73794.0,49682.0,118802.0,1157.6641,0.21508682,1.5591493,0.8258877,2.9646025,266.8585
10.8,47.2,102827.83,0.93718374,2019-01-01 09:00:00,466856.0,238796.0,502694.0,2604.7422,0.38324642,1.3714819,1.1506182,2.4630709,268.99432
10.8,47.2,102786.71,0.8910387,2019-01-01 10:00:00,1200274.0,598326.0,1142810.0,6204.1797,0.44152403,1.0893483,1.0699954,1.7813773,272.12967
10.8,47.2,102658.164,0.8992789,2019-01-01 11:00:00,2155824.0,1095685.0,1976202.0,9806.422,0.61769116,1.1639934,1.1063876,2.0134773,274.5921
10.8,47.2,102504.01,0.8826612,2019-01-01 12:00:00,3169354.0,1641658.0,2857468.0,13405.852,0.61724627,0.64021206,0.99833083,1.4232178,276.42014
10.8,47.2,102497.49,0.22457561,2019-01-01 13:00:00,4071442.0,2111771.0,3650964.0,17005.29,0.3325317,0.19740152,0.9193878,0.17831564,276.36923
10.8,47.2,102536.266,0.019974858,2019-01-01 14:00:00,4711488.0,2501217.0,4309698.0,20604.719,0.31740618,0.07763147,0.9121094,-0.45576763,276.0224
10.8,47.2,102521.63,0.033159137,2019-01-01 15:00:00,4991602.0,2708494.0,4694478.0,24204.148,0.4784479,0.5141163,1.4579923,-0.11654425,274.9226
10.8,47.2,102512.88,0.031160146,2019-01-01 16:00:00,5013438.0,2730397.0,4750332.0,25555.695,0.63059235,1.0020514,2.0464263,0.34170532,273.35593
10.8,47.2,102557.586,0.11365354,2019-01-01 17:00:00,5013438.0,2730397.0,4750332.0,25555.695,0.65950865,0.70094013,1.9518067,-0.6705551,272.32333
10.8,47.2,102611.4,0.29927135,2019-01-01 18:00:00,5013438.0,2730397.0,4750332.0,25555.695,0.77695346,0.5444803,1.8090372,-1.3717256,271.70627
10.8,47.2,102719.62,0.4256819,2019-01-01 19:00:00,5013438.0,2730397.0,4750332.0,25555.695,0.92286974,0.46814823,1.8151959,-1.4193358,271.30408
10.8,47.2,102782.305,0.72924113,2019-01-01 20:00:00,5013438.0,2730397.0,4750332.0,25555.695,0.9308773,0.38844252,1.7810432,-0.90373755,271.0447
10.8,47.2,102820.37,0.8691565,2019-01-01 21:00:00,5013438.0,2730397.0,4750332.0,25555.695,1.1542004,0.15902472,1.8655851,-0.6846218,270.91278
10.8,47.2,102787.47,0.9543203,2019-01-01 22:00:00,5013438.0,2730397.0,4750332.0,25555.695,0.95490015,1.1741147,2.108573,0.81023455,268.6055
10.8,47.2,102667.805,0.9875405,2019-01-01 23:00:00,5013438.0,2730397.0,4750332.0,25555.695,0.9197557,1.0543451,1.8431898,1.1375556,269.63562
10.8,47.2,102719.33,0.9541674,2019-01-02 00:00:00,0.0,0.0,0.0,-0.0078125,1.5346961,0.018927813,2.232355,-0.7142594,270.2064
10.8,47.2,102682.18,0.99600923,2019-01-02 01:00:00,0.0,0.0,0.0,-0.0078125,1.5519118,-0.27952242,2.5416365,-0.7578566,268.94836
10.8,47.2,102663.5,0.9943612,2019-01-02 02:00:00,0.0,0.0,0.0,-0.0078125,0.9985111,-0.5878353,2.8202746,-1.2884693,269.44223
10.8,47.2,102698.72,0.95517457,2019-01-02 03:00:00,0.0,0.0,0.0,-0.0078125,1.0879216,-1.2100358,2.8494925,-2.8079996,269.24246
10.8,47.2,102782.34,0.9770874,2019-01-02 04:00:00,0.0,0.0,0.0,-0.0078125,1.4091883,-2.99988,2.9546053,-5.7869806,268.28082
10.8,47.2,102909.71,0.9997021,2019-01-02 05:00:00,0.0,0.0,0.0,-0.0078125,1.190105,-1.9055623,2.7230008,-4.1313415,266.77548
10.8,47.2,102999.195,0.9994885,2019-01-02 06:00:00,0.0,0.0,0.0,-0.0078125,0.8441255,-2.828357,1.7766285,-5.4669113,266.2632
10.8,47.2,103166.67,0.7691753,2019-01-02 07:00:00,0.0,0.0,0.0,-0.0078125,0.973243,-2.1242542,1.8364894,-4.148355,265.37482
10.8,47.2,103206.63,0.99956477,2019-01-02 08:00:00,60650.0,26266.0,99414.0,449.7422,0.80275226,-1.1015472,2.0898292,-2.779289,264.96802
10.8,47.2,103194.77,0.9989696,2019-01-02 09:00:00,416314.0,86597.0,351832.0,449.7422,0.7116759,-1.3065176,1.7962258,-2.594266,265.3265
10.8,47.2,103201.445,0.9826113,2019-01-02 10:00:00,1100688.0,168268.0,732402.0,449.7422,0.890219,-1.6547096,2.0021758,-3.3869948,265.2966
10.8,47.2,103094.016,0.9701443,2019-01-02 11:00:00,2011190.0,284415.0,1204618.0,449.7422,0.91604257,-1.174016,1.875684,-2.3305545,265.59222
10.8,47.2,103028.336,0.9130275,2019-01-02 12:00:00,2989082.0,436267.0,1746734.0,449.7422,1.027389,-2.3974051,1.9316254,-4.4774623,265.8821
10.8,47.2,102944.11,0.9812075,2019-01-02 13:00:00,3848668.0,625466.0,2295066.0,449.7422,0.93797874,-1.6594265,2.086266,-3.5039635,266.1505
10.8,47.2,102992.97,0.9735166,2019-01-02 14:00:00,4440944.0,682924.0,2634470.0,449.7422,1.0807021,-2.4514349,2.2825956,-4.719907,265.71338
10.8,47.2,103083.64,0.8895278,2019-01-02 15:00:00,4685042.0,726427.0,2850386.0,449.7422,1.2348101,-3.11137,2.5095682,-5.7917657,265.27054
10.8,47.2,103201.59,0.92883646,2019-01-02 16:00:00,4703012.0,733404.0,2889220.0,449.7422,0.88744235,-2.84165,1.6405163,-5.3127255,264.70074
10.8,47.2,103334.375,0.81539667,2019-01-02 17:00:00,4703012.0,733404.0,2889220.0,449.7422,0.9154873,-2.8172078,1.6629641,-5.1611977,264.31195
10.8,47.2,103461.15,0.97519517,2019-01-02 18:00:00,4703012.0,733404.0,2889220.0,449.7422,0.69695926,-2.6538322,1.2628226,-5.0187087,263.91742
10.8,47.2,103576.36,0.881898,2019-01-02 19:00:00,4703012.0,733404.0,2889220.0,449.7422,0.7877581,-2.247322,1.2239842,-4.4343967,263.3235
10.8,47.2,103653.69,0.831053,2019-01-02 20:00:00,4703012.0,733404.0,2889220.0,449.7422,0.7541597,-1.7880689,1.3739927,-3.813399,263.12717
10.8,47.2,103698.69,0.9252658,2019-01-02 21:00:00,4703012.0,733404.0,2889220.0,449.7422,0.70778847,-1.2512014,1.5307713,-2.9659073,262.98184
10.8,47.2,103723.445,0.8773506,2019-01-02 22:00:00,4703012.0,733404.0,2889220.0,449.7422,0.8471799,-0.77136517,1.9362576,-2.1737099,262.94772
10.8,47.2,103801.586,0.81554925,2019-01-02 23:00:00,4703012.0,733404.0,2889220.0,449.7422,0.7397208,-0.7070441,1.880316,-2.0189924,262.78284
10.8,47.2,103827.97,0.9308815,2019-01-03 00:00:00,0.0,0.0,0.0,-0.0078125,0.052870512,0.2200594,0.48109198,-0.6564565,262.44113
10.8,47.2,103872.39,0.976172,2019-01-03 01:00:00,0.0,0.0,0.0,-0.0078125,-0.070872545,-0.11883283,-0.15581131,-0.87278605,262.73428
10.8,47.2,103903.81,0.99991596,2019-01-03 02:00:00,0.0,0.0,0.0,-0.0078125,-0.033343792,-0.13035083,0.024318218,-0.71626854,262.6801
10.8,47.2,103875.1,0.99930555,2019-01-03 03:00:00,0.0,0.0,0.0,-0.0078125,0.08228493,0.06323862,0.33654308,-0.5234165,262.52902
10.8,47.2,103901.94,0.9947277,2019-01-03 04:00:00,0.0,0.0,0.0,-0.0078125,0.1864183,0.016281128,0.5157833,-0.6631644,262.48438
10.8,47.2,103886.15,0.9743103,2019-01-03 05:00:00,0.0,0.0,0.0,-0.0078125,0.3175993,0.46990967,0.9254117,-0.079577446,261.95554
10.8,47.2,103957.94,0.95313,2019-01-03 06:00:00,0.0,0.0,0.0,-0.0078125,0.46500897,0.4738965,1.2723284,-0.05050993,261.50937
10.8,47.2,104016.72,0.976233,2019-01-03 07:00:00,0.0,0.0,0.0,-0.0078125,0.4284947,0.5097792,1.142457,0.09929967,261.21286
10.8,47.2,104091.59,0.96730614,2019-01-03 08:00:00,68652.0,30193.0,110252.0,679.35156,0.25437546,0.5155382,0.9049525,0.6974206,261.3559
10.8,47.2,104082.8,0.97547007,2019-01-03 09:00:00,446244.0,181572.0,474238.0,2552.7812,0.3419423,0.55939484,0.6856837,1.0210762,261.39865
10.8,47.2,104041.15,0.9254491,2019-01-03 10:00:00,1161758.0,453310.0,1036828.0,2696.5703,0.4362707,0.24132323,0.7786393,0.5397849,261.71985
10.8,47.2,103982.59,0.6282988,2019-01-03 11:00:00,2112220.0,900415.0,1830496.0,6295.4688,0.4714327,-0.053269386,0.8773775,-0.3898177,261.88712
10.8,47.2,103895.92,0.6740471,2019-01-03 12:00:00,3141250.0,1514617.0,2769908.0,9896.453,0.7057328,-0.69605744,1.2612095,-1.4222746,261.94745
10.8,47.2,103853.23,0.8302902,2019-01-03 13:00:00,4052046.0,2065537.0,3627764.0,13497.441,0.61174226,-0.5959401,0.9609933,-1.0438373,262.20544
10.8,47.2,103883.29,0.82362175,2019-01-03 14:00:00,4684414.0,2447293.0,4272666.0,17096.344,-0.025229454,0.32637858,0.27427626,0.28656173,262.36652
10.8,47.2,103936.29,0.8980428,2019-01-03 15:00:00,4956738.0,2607358.0,4612484.0,19382.387,-0.33086753,1.0028343,-0.22030258,1.637085,260.7116
10.8,47.2,103968.31,0.8146949,2019-01-03 16:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.22436786,1.0808017,-0.0032572746,2.0423536,260.85843
10.8,47.2,103985.98,0.6742302,2019-01-03 17:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.20306754,1.2535706,0.46685934,2.0921035,260.03452
10.8,47.2,103966.055,0.61601484,2019-01-03 18:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.19698215,1.2885673,0.7048087,2.0328507,259.26337
10.8,47.2,103974.4,0.993629,2019-01-03 19:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.17094874,1.318248,0.6883521,2.0088139,258.85284
10.8,47.2,103973.73,0.99999225,2019-01-03 20:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.2456677,1.2504694,0.71281433,1.7449698,259.8706
10.8,47.2,103963.95,0.999977,2019-01-03 21:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.116853476,1.2526846,1.1811519,1.6784501,259.8435
10.8,47.2,103941.7,0.999977,2019-01-03 22:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.2919867,0.95543385,0.86759233,1.1390233,260.00507
10.8,47.2,103968.01,0.9944987,2019-01-03 23:00:00,4978860.0,2622247.0,4664590.0,19382.387,-0.42925334,1.0856748,0.44373178,1.1742401,259.93237
10.8,47.2,103902.11,0.89962983,2019-01-04 00:00:00,0.0,-1.0,0.0,0.0,0.03597355,0.8764193,0.9619551,-0.22916794,261.61768
10.8,47.2,103964.97,0.96593285,2019-01-04 01:00:00,0.0,-1.0,0.0,0.0,-0.02082038,0.4374373,0.6543813,-0.6440387,261.609
10.8,47.2,104001.36,0.9871894,2019-01-04 02:00:00,0.0,-1.0,0.0,0.0,-0.00088596344,0.72887015,0.64050937,0.46473646,261.52985
10.8,47.2,103995.36,0.9506732,2019-01-04 03:00:00,0.0,-1.0,0.0,0.0,-0.23483205,0.9029968,0.60367703,1.4020171,261.1474
10.8,47.2,104033.19,0.96297246,2019-01-04 04:00:00,0.0,-1.0,0.0,0.0,-0.33713627,1.0963686,0.27409983,1.703124,260.42593
10.8,47.2,104041.19,0.98094827,2019-01-04 05:00:00,0.0,-1.0,0.0,0.0,-0.4089749,1.2448342,0.24826956,1.82934,259.6697
10.8,47.2,104070.54,0.98955464,2019-01-04 06:00:00,0.0,-1.0,0.0,0.0,-0.5549092,1.1660192,0.15260124,1.8055682,259.62534
10.8,47.2,104079.58,0.9955975,2019-01-04 07:00:00,0.0,-1.0,0.0,0.0,-0.573339,1.0885785,0.0038366318,1.6187911,259.5338
10.8,47.2,104079.66,0.9775301,2019-01-04 08:00:00,60730.0,26631.0,106204.0,0.0,-0.60568523,0.8764193,-0.0636096,1.3997531,259.7182
