longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
12.8,52.2,102658.164,0.99950397,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,4.766963,0.7920327,8.137922,0.9725423,281.18738
12.8,52.2,102579.15,0.99976337,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,5.150438,1.0627799,8.557833,1.5097818,280.99915
12.8,52.2,102520.93,0.99999225,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,5.6357875,0.84896564,9.337746,1.0915685,280.8603
12.8,52.2,102399.67,0.99999225,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,5.5899663,1.2875586,9.231367,1.739718,280.8346
12.8,52.2,102270.9,0.99999225,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,5.823966,1.1285686,9.539302,1.6591053,280.57916
12.8,52.2,102176.25,0.9922557,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,7.322722,-0.6308651,11.807377,-1.2180743,280.07376
12.8,52.2,102056.81,0.99999225,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,7.276011,1.3432264,12.027409,1.7142901,279.59598
12.8,52.2,101925.22,0.99999225,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,6.7466197,2.127212,11.169672,3.069562,279.89194
12.8,52.2,101855.07,0.99999225,2019-01-01 08:00:00,12048.0,4808.0,43442.0,0.0,7.1612353,1.7780242,11.795618,2.582096,280.10785
12.8,52.2,101788.16,1.0000075,2019-01-01 09:00:00,167164.0,34724.0,251790.0,0.0,7.122977,1.1294122,11.6982,1.4215946,280.37808
12.8,52.2,101730.76,0.99999225,2019-01-01 10:00:00,527850.0,76394.0,573620.0,0.0,7.0317793,0.52761173,11.525757,0.3725438,280.4863
12.8,52.2,101631.59,0.9074733,2019-01-01 11:00:00,1034614.0,143706.0,957514.0,0.0,7.4588513,-0.27366447,12.000534,-0.7776785,280.49716
12.8,52.2,101534.305,0.5872048,2019-01-01 12:00:00,1579782.0,385172.0,1505424.0,837.34375,7.826311,-0.9513757,12.340382,-1.80617,280.8919
12.8,52.2,101518.68,0.4438866,2019-01-01 13:00:00,2042874.0,720128.0,2114510.0,4436.7734,7.5673985,-2.5497108,11.991577,-4.414459,280.44135
12.8,52.2,101503.34,0.57122797,2019-01-01 14:00:00,2316964.0,979759.0,2585286.0,8036.203,7.9063873,-2.237635,12.671831,-3.944307,279.6928
12.8,52.2,101471.86,0.73294926,2019-01-01 15:00:00,2380970.0,1051345.0,2753738.0,9837.328,7.596315,-2.0027344,12.2950325,-3.4568422,278.97592
12.8,52.2,101498.94,0.7364742,2019-01-01 16:00:00,2380970.0,1051345.0,2753738.0,9837.328,7.7213225,-3.4083414,12.320227,-5.729695,277.8796
12.8,52.2,101454.875,0.7926753,2019-01-01 17:00:00,2380970.0,1051345.0,2753738.0,9837.328,8.2520485,-2.2798073,13.220514,-4.385785,277.57526
12.8,52.2,101418.57,0.022233278,2019-01-01 18:00:00,2380970.0,1051345.0,2753738.0,9837.328,8.72939,-2.2730596,13.9970665,-4.1823587,277.3875
12.8,52.2,101400.06,0.16066837,2019-01-01 19:00:00,2380970.0,1051345.0,2753738.0,9837.328,8.897995,-2.4965734,14.334675,-4.5827184,277.04218
12.8,52.2,101377.39,0.82444584,2019-01-01 20:00:00,2380970.0,1051345.0,2753738.0,9837.328,8.944706,-2.893416,14.285406,-5.229245,277.2309
12.8,52.2,101362.875,0.84876966,2019-01-01 21:00:00,2380970.0,1051345.0,2753738.0,9837.328,9.002093,-3.4298494,14.261332,-5.8849697,277.7823
12.8,52.2,101383.85,0.99111116,2019-01-01 22:00:00,2380970.0,1051345.0,2753738.0,9837.328,8.51274,-3.8578997,13.436626,-6.523922,277.88257
