longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
8.8,49.2,103410.97,0.99999225,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,1.9447285,1.2529774,4.008806,1.8257413,279.02832
8.8,49.2,103387.65,1.0000075,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,2.187181,1.5304718,4.294345,2.347291,279.10883
8.8,49.2,103337.89,1.0000075,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,2.4825723,1.7522988,4.915252,2.767128,279.1464
8.8,49.2,103273.67,0.99999225,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,2.8331273,1.6784973,5.302689,2.8087864,279.24768
8.8,49.2,103199.945,0.99999225,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,3.6080852,1.787302,6.4073324,2.907795,279.23926
8.8,49.2,103152.18,1.0000075,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,4.238016,1.4022679,7.2432337,2.0800238,278.90826
8.8,49.2,103103.89,0.99268293,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,4.386157,0.8704734,7.3367333,1.289043,278.66812
8.8,49.2,103103.59,0.9799869,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,4.719807,0.37368202,7.947003,0.4407134,278.4295
8.8,49.2,103134.555,0.9693052,2019-01-01 08:00:00,15812.0,12822.0,52308.0,0.0,4.9182177,0.54532385,7.9061317,0.6717315,277.98236
8.8,49.2,103099.836,1.0000075,2019-01-01 09:00:00,220628.0,159198.0,379458.0,0.0,4.7389364,0.92571926,7.8579817,1.2517123,277.77734
8.8,49.2,103009.25,0.9996108,2019-01-01 10:00:00,698780.0,344572.0,860876.0,0.0,5.9022627,1.6363249,9.343904,2.622674,277.95175
8.8,49.2,102967.18,0.86198443,2019-01-01 11:00:00,1386264.0,591916.0,1493012.0,0.0,6.4863725,1.1028433,11.259813,1.896616,278.4384
8.8,49.2,102920.89,0.9844732,2019-01-01 12:00:00,2144528.0,814151.0,2109190.0,0.0,4.731818,0.88734245,7.664823,1.1023889,278.81488
8.8,49.2,102865.78,0.99588746,2019-01-01 13:00:00,2815448.0,1071111.0,2750192.0,221.98438,4.870617,2.0677485,8.092571,3.1637,279.05994
8.8,49.2,102840.64,0.99999225,2019-01-01 14:00:00,3270256.0,1211611.0,3205898.0,221.98438,5.257206,2.066062,8.821535,3.0603638,278.9631
8.8,49.2,102835.88,0.99999225,2019-01-01 15:00:00,3450974.0,1261293.0,3448822.0,221.98438,5.3648634,1.5448108,9.079081,2.3516188,278.80646
8.8,49.2,102834.82,1.0000075,2019-01-01 16:00:00,3461516.0,1263430.0,3485172.0,221.98438,5.350628,1.3221402,9.096996,1.9880495,278.64194
8.8,49.2,102823.37,1.0000075,2019-01-01 17:00:00,3461516.0,1263430.0,3485172.0,221.98438,5.613544,1.1302557,9.557777,1.4773202,278.5135
8.8,49.2,102810.09,1.0000075,2019-01-01 18:00:00,3461516.0,1263430.0,3485172.0,221.98438,6.225236,0.51538134,10.513493,0.4461236,278.54807
8.8,49.2,102828.59,0.895754,2019-01-01 19:00:00,3461516.0,1263430.0,3485172.0,221.98438,6.2568216,-0.020629883,10.4799,-0.36379337,278.72543
8.8,49.2,102883.29,0.93881655,2019-01-01 20:00:00,3461516.0,1263430.0,3485172.0,221.98438,5.1820235,-1.9289327,8.5869465,-3.1251929,278.46408
