longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
11.8,54.2,102129.55,0.99999225,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,10.569803,4.9628863,14.64093,6.135559,279.74323
11.8,54.2,102068.21,1.0000075,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,10.850514,3.5872216,14.889517,4.3458433,279.9033
11.8,54.2,101926.336,1.0000075,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,11.13078,4.7701583,15.38669,5.802828,279.96457
11.8,54.2,101765.836,0.99999225,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,12.18111,4.992829,16.817183,6.164233,279.9942
11.8,54.2,101608.56,0.99999225,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,12.568145,4.696778,17.433052,5.781728,280.13354
11.8,54.2,101413.76,1.0000075,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,12.614856,4.349277,17.559025,5.156842,280.28076
11.8,54.2,101316.99,0.99999225,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,12.788798,1.7168741,17.727549,1.4297099,280.62366
11.8,54.2,101317.7,0.6677755,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,12.570369,-2.1161783,17.090405,-3.6927297,281.0184
11.8,54.2,101327.625,0.028153986,2019-01-01 08:00:00,2258.0,5342.0,16844.0,0.0,12.613076,-3.7039702,17.095444,-5.587946,280.64587
11.8,54.2,101273.17,0.2554763,2019-01-01 09:00:00,109938.0,172020.0,322716.0,3149.8594,13.573098,-3.4129806,18.160336,-5.2552147,280.2605
11.8,54.2,101230.75,0.013016462,2019-01-01 10:00:00,409630.0,522468.0,897226.0,6749.289,13.771954,-3.9363403,18.426838,-5.941777,280.14835
11.8,54.2,101146.39,0.03550914,2019-01-01 11:00:00,859166.0,1078590.0,1720864.0,10348.727,14.140304,-4.0831003,18.822674,-6.015357,279.93393
11.8,54.2,101103.98,0.54452366,2019-01-01 12:00:00,1334306.0,1656082.0,2575534.0,13950.969,14.6510105,-3.7832544,19.434063,-5.623654,279.75952
11.8,54.2,101080.36,0.51911646,2019-01-01 13:00:00,1714568.0,2066897.0,3233382.0,17550.398,15.239124,-5.5355186,19.954191,-7.642765,279.23926
11.8,54.2,101033.3,0.6684011,2019-01-01 14:00:00,1920136.0,2282187.0,3628800.0,21149.828,15.583451,-6.884615,20.436808,-9.384871,278.5466
11.8,54.2,100942.766,0.057788134,2019-01-01 15:00:00,1959292.0,2332404.0,3746716.0,22501.375,15.316531,-4.270346,20.393698,-6.2631474,278.89047
11.8,54.2,100901.7,0.11878076,2019-01-01 16:00:00,1959292.0,2332404.0,3746716.0,22501.375,15.706679,-5.2419987,21.021883,-7.5221157,278.96802
11.8,54.2,100882.375,0.38797542,2019-01-01 17:00:00,1959292.0,2332404.0,3746716.0,22501.375,15.088759,-7.7715015,19.895403,-10.880809,279.11575
11.8,54.2,100925.84,0.6121695,2019-01-01 18:00:00,1959292.0,2332404.0,3746716.0,22501.375,13.198521,-9.328929,17.186144,-12.791174,279.1543
11.8,54.2,100992.94,0.99996173,2019-01-01 19:00:00,1959292.0,2332404.0,3746716.0,22501.375,11.150354,-9.11132,14.633652,-12.622915,278.91617
11.8,54.2,101049.63,0.9931712,2019-01-01 20:00:00,1959292.0,2332404.0,3746716.0,22501.375,10.580035,-6.989624,14.374987,-10.615165,278.84006
11.8,54.2,101143.625,0.89955354,2019-01-01 21:00:00,1959292.0,2332404.0,3746716.0,22501.375,10.065769,-8.196599,13.087822,-11.545731,278.87268
11.8,54.2,101221.414,0.1988174,2019-01-01 22:00:00,1959292.0,2332404.0,3746716.0,22501.375,8.835713,-9.8033695,11.066654,-13.305691,279.1538
11.8,54.2,101317.234,0.017334938,2019-01-01 23:00:00,1959292.0,2332404.0,3746716.0,22501.375,7.8547826,-10.511866,9.868511,-14.280621,279.13602
11.8,54.2,101563.89,0.044954777,2019-01-02 00:00:00,0.0,0.0,0.0,-0.0078125,9.002689,-7.4779215,11.836466,-11.1675415,278.40985
11.8,54.2,101653.23,0.12793648,2019-01-02 01:00:00,0.0,0.0,0.0,-0.0078125,7.16811,-9.836794,9.133461,-15.1253395,278.70932
11.8,54.2,101783.78,0.25146294,2019-01-02 02:00:00,0.0,0.0,0.0,-0.0078125,5.0128183,-13.387753,6.497444,-18.506798,278.5172
11.8,54.2,101874.52,0.18917325,2019-01-02 03:00:00,0.0,0.0,0.0,-0.0078125,4.908136,-13.8435755,6.0078673,-18.765724,278.27988
11.8,54.2,101985.66,0.1472246,2019-01-02 04:00:00,0.0,0.0,0.0,-0.0078125,4.2045145,-14.5867,5.0878625,-19.126202,277.8489
11.8,54.2,102055.87,0.17041919,2019-01-02 05:00:00,0.0,0.0,0.0,-0.0078125,3.3445635,-13.589722,3.9227128,-17.728956,277.62112
11.8,54.2,102205.48,0.3000037,2019-01-02 06:00:00,0.0,0.0,0.0,-0.0078125,1.8126462,-14.570405,1.9840038,-18.846008,277.35733
11.8,54.2,102366.43,0.08696446,2019-01-02 07:00:00,0.0,0.0,0.0,-0.0078125,1.1809418,-13.961069,1.1320548,-17.997452,277.2795
11.8,54.2,102517.59,0.000274688,2019-01-02 08:00:00,2994.0,8618.0,20192.0,303.6953,0.6430907,-12.728675,0.5134921,-16.288647,277.0483
